ko	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24
K00033	44.0	48.0	7.0	2.0	42.0	11.0	69.0	3.0	5.0	43.0	4.0	6.0		5.0	6.0			14.0	3.0	6.0	5.0	2.0	12.0	22.0	6.0
K00075	357.0	406.0	160.0	187.0	375.0	262.0	450.0	215.0	199.0	326.0	248.0	183.0	202.0	150.0	221.0	348.0	190.0	230.0	283.0	209.0	186.0	191.0	247.0	305.0	252.0
K00077	7.0	2.0	2.0	8.0	5.0			2.0	16.0	14.0	25.0	1.0	10.0	4.0	2.0	11.0	11.0	16.0	13.0	5.0	1.0		4.0	3.0	16.0
K00209	40.0	22.0	25.0	80.0	36.0	28.0		100.0	101.0	38.0	85.0	25.0	107.0	18.0	48.0	45.0	107.0	72.0	82.0	33.0	2.0	15.0	42.0	55.0	83.0
K00228	1889.0	2240.0	954.0	1278.0	2219.0	1354.0	2410.0	1362.0	1546.0	1877.0	1840.0	988.0	1486.0	880.0	1202.0	2358.0	1234.0	1764.0	1861.0	1155.0	965.0	902.0	1229.0	1699.0	1734.0
K00240	1.0	1.0	1.0	3.0						1.0			1.0						2.0		1.0				
K00241	2.0			5.0	2.0				3.0	4.0	4.0		3.0	1.0	1.0	1.0	6.0	2.0	3.0	2.0			1.0	1.0	4.0
K00275	2635.0	3162.0	420.0	906.0	3108.0	957.0	3847.0	906.0	1523.0	2595.0	1212.0	659.0	969.0	354.0	908.0	671.0	994.0	1632.0	896.0	530.0	188.0	304.0	1058.0	1849.0	1424.0
K00286	1.0		7.0	1.0		1.0				1.0	1.0	5.0	1.0	5.0	3.0		1.0			2.0	6.0	6.0	4.0	1.0	
K00287	585.0	731.0	136.0	315.0	738.0	247.0	825.0	411.0	468.0	664.0	355.0	143.0	316.0	77.0	268.0	190.0	398.0	448.0	288.0	155.0	10.0	52.0	259.0	478.0	366.0
K00304	3.0		5.0	14.0	1.0	4.0		39.0	11.0	1.0		3.0	6.0		21.0		37.0	6.0	3.0	11.0	2.0	6.0	5.0	22.0	
